Name,Units,NAV,Investment,Current Value,P&L,P&L%
HDFC Flexi Cap Fund Direct - Growth,29.968,"2,216.70","68,196.31","66,430.01","-1,766.31",-2.59%
Motilal Oswal Midcap Fund Direct - Growth,543.053,105.2749,"63,996.75","57,169.85","-6,826.90",-10.67%
Kotak Nifty Next 50 Index Fund Direct - Growth,344.046,19.3235,"6,999.66","6,648.17",-351.48,-5.02%
SBI Banking & Financial Services Fund Direct - Growth,423.184,50.3219,"21,498.96","21,295.42",-203.54,-0.95%
ICICI Prudential Large Cap Fund Direct - Growth,40.393,121.64,"5,099.71","4,913.40",-186.3,-3.65%
JioBlackRock Flexi Cap Fund Direct - Growth,847.874,9.81,"8,699.57","8,317.64",-381.92,-4.39%
Edelweiss Mid Cap Fund Direct - Growth,320.268,116.827,"38,998.00","37,415.95","-1,582.06",-4.06%
Motilal Oswal Large and Midcap Fund Direct - Growth,261.104,33.5647,"9,499.53","8,763.88",-735.65,-7.74%
Bandhan Nifty 50 Index Fund Direct - Growth,294.074,55.6982,"16,999.18","16,379.39",-619.78,-3.65%
Invesco India Financial Services Fund Direct - Growth,97.656,171.01,"16,999.10","16,700.15",-298.95,-1.76%
Bandhan Small Cap Fund Direct - Growth,147.042,47.712,"7,499.65","7,015.67",-483.98,-6.45%
Invesco India - Invesco Global Equity Income FoF Fund Direct - Growth,408.468,37.2453,"14,499.28","15,213.51",714.24,4.93%
Axis Greater China Equity FoF Fund Direct - Growth,471.172,11.48,"5,199.74","5,409.05",209.31,4.03%
Nippon India Multi - Asset Omni FoF Fund Direct - Growth,707.065,23.9411,"16,999.14","16,927.91",-71.23,-0.42%
Motilal Oswal BSE Financials ex Bank 30 Index Fund Direct - Growth,107.725,17.4576,"1,999.89","1,880.62",-119.27,-5.96%
Nippon India Multi Asset Allocation Fund Direct - Growth,291.997,26.1123,"7,499.64","7,624.71",125.08,1.67%
UTI Multi Asset Allocation Fund Direct - Growth,78.96,88.1271,"6,999.65","6,958.52",-41.13,-0.59%
Edelweiss Gold and Silver ETF FoF Fund Direct - Growth,138.531,37.641,"4,499.76","5,214.45",714.68,15.88%
Invesco India Mid Cap Fund Direct - Growth,25.445,205.56,"5,499.68","5,230.47",-269.21,-4.89%
